지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),해면기압(hPa)
108,서울,2021-01-01 00:00,-8.3,,1.8,250,66,1027.7
108,서울,2021-01-01 01:00,-8.7,,2.4,270,68,1027.7
108,서울,2021-01-01 02:00,-9.1,,1.6,270,69,1027.5
108,서울,2021-01-01 03:00,-9.3,,1.1,250,70,1028.1
108,서울,2021-01-01 04:00,-9.3,,.3,0,71,1027.5
108,서울,2021-01-01 05:00,-9.7,,1.9,20,72,1026.9
108,서울,2021-01-01 06:00,-9.7,,2,50,75,1026.7
108,서울,2021-01-01 07:00,-9.3,,1.6,50,71,1026.9
108,서울,2021-01-01 08:00,-9.3,,1.6,50,72,1027.1
108,서울,2021-01-01 09:00,-8.6,,2.5,20,74,1027.4
108,서울,2021-01-01 10:00,-6.1,,1.1,50,68,1027.6
108,서울,2021-01-01 11:00,-3.2,,1.7,70,55,1026.5
108,서울,2021-01-01 12:00,-1.1,,2.1,200,52,1025.7
108,서울,2021-01-01 13:00,-.2,,3,250,56,1024.9
108,서울,2021-01-01 14:00,1.4,,1.6,200,53,1024
108,서울,2021-01-01 15:00,1.2,,2.6,270,52,1024.1
108,서울,2021-01-01 16:00,-.2,,3.8,270,58,1024.5
108,서울,2021-01-01 17:00,-.7,,1.8,250,61,1024.5
108,서울,2021-01-01 18:00,-1.4,,2.1,250,68,1024.5
108,서울,2021-01-01 19:00,-1.5,,2.4,250,70,1024.5
108,서울,2021-01-01 20:00,-1.6,,2.5,270,73,1024.7
108,서울,2021-01-01 21:00,-1.6,,2.3,270,66,1025.2
108,서울,2021-01-01 22:00,-1.8,,2.5,270,63,1025.7
108,서울,2021-01-01 23:00,-2.6,,1.9,250,55,1025.9
108,서울,2021-01-02 00:00,-3.4,,2.5,320,55,1026
108,서울,2021-01-02 01:00,-4.1,,2.3,320,39,1026.2
108,서울,2021-01-02 02:00,-5,,2.7,270,42,1026.6
108,서울,2021-01-02 03:00,-5.8,,1.9,270,45,1026.9
108,서울,2021-01-02 04:00,-6.3,,1.7,290,45,1027
108,서울,2021-01-02 05:00,-6.6,,1.1,320,40,1027.2
108,서울,2021-01-02 06:00,-6.6,,2.7,320,35,1027.4
108,서울,2021-01-02 07:00,-7.4,,1.5,290,38,1027.8
108,서울,2021-01-02 08:00,-8.3,,1.3,270,41,1028.4
